index,label
0,tile-glue_strip
1,cable-combined
2,cable-combined
3,cable-combined
4,tile-good
5,pill-crack
6,metal_nut-good
7,cable-combined
8,leather-good
9,leather-glue
10,transistor-misplaced
11,wood-good
12,zipper-rough
13,screw-good
14,cable-combined
15,bottle-contamination
16,transistor-misplaced
17,carpet-metal_contamination
18,carpet-good
19,pill-color
20,tile-rough
21,metal_nut-good
22,tile-rough
23,screw-scratch_neck
24,cable-combined
25,screw-good
26,pill-good
27,cable-combined
28,leather-good
29,wood-liquid
30,screw-good
31,cable-combined
32,screw-good
33,zipper-fabric_interior
34,zipper-good
35,metal_nut-good
36,leather-good
37,cable-good
38,leather-cut
39,metal_nut-flip
40,metal_nut-good
41,cable-missing_cable
42,screw-thread_top
43,capsule-faulty_imprint
44,metal_nut-flip
45,cable-combined
46,toothbrush-good
47,metal_nut-good
48,zipper-good
49,screw-good
50,cable-good
51,transistor-good
52,hazelnut-crack
53,cable-combined
54,zipper-good
55,metal_nut-scratch
56,carpet-cut
57,cable-combined
58,cable-combined
59,capsule-good
60,transistor-good
61,pill-faulty_imprint
62,capsule-good
63,zipper-squeezed_teeth
64,transistor-misplaced
65,leather-color
66,transistor-good
67,capsule-scratch
68,pill-pill_type
69,cable-combined
70,grid-good
71,tile-crack
72,hazelnut-good
73,tile-glue_strip
74,leather-poke
75,zipper-good
76,cable-good
77,leather-good
78,cable-combined
79,cable-good
80,pill-good
81,wood-good
82,metal_nut-good
83,transistor-cut_lead
84,transistor-good
85,bottle-broken_small
86,metal_nut-good
87,carpet-good
88,capsule-good
89,zipper-fabric_interior
90,cable-combined
91,zipper-good
92,cable-combined
93,metal_nut-good
94,screw-good
95,tile-oil
96,transistor-good
97,transistor-good
98,metal_nut-good
99,metal_nut-good
100,cable-good
101,carpet-good
102,pill-good
103,capsule-good
104,wood-good
105,bottle-contamination
106,transistor-damaged_case
107,pill-good
108,transistor-good
109,hazelnut-hole
110,leather-color
111,screw-scratch_neck
112,cable-combined
113,transistor-good
114,metal_nut-good
115,cable-good
116,grid-good
117,pill-good
118,capsule-good
119,hazelnut-good
120,screw-good
121,cable-good
122,metal_nut-good
123,transistor-good
124,transistor-bent_lead
